# SCHD-10 build gauge  cohort_stable=50/87  qualified=10  ready=BUILD-SIGNAL (threshold=50%+)  |  run=2026-09-25_1722  universe=1142  cache_hit=48.2%  price_stale=60/1142  fetch_failed=11/1142
ticker,schd_rank_score,schd10_score,schd10_qualified,ready_to_buy_score,total_return_potential,target_upside,div_yield,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div,trailingPE,forwardPE,peg,turn_state,recent_action,vol_event_read,vol_spike_tag,eps_rev_30d,eps_rev_90d,quality_flag,cyclicality,pct_change_1d,pct_change_5d,pct_change_1mo,vol_vs_10d_avg,vol_vs_3mo_avg,vol_spike_recent,dist_from_ath,price_above_ma50,conviction_count,sector,schd_holding
WU,38.30,48.20,False,,28.8%,13.6%,15.21,False,0.76,2026-09-15,10.00,False,4.98,4.09,,EARLY_TURN,STRENGTH-HOLLOW,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.98,-21.19,MEDIUM,MIXED,2.5%,0.0%,-14.9%,0.77,0.87,False,-71.1%,False,4.00,Financial Services,True
CVBF,37.90,27.50,True,,18.9%,15.4%,3.55,False,0.56,2026-09-29,,False,15.65,11.27,,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,0.25,5.84,MEDIUM,MIXED,1.0%,-0.8%,0.6%,0.98,1.17,False,-23.0%,False,8.00,Financial Services,True
ALV,36.00,27.00,True,0.0,17.0%,14.0%,2.94,False,0.41,2026-08-27,29.00,False,14.04,9.97,,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,0.12,-0.55,MEDIUM,CYCLICAL,3.2%,0.5%,-4.9%,1.20,1.27,False,-11.1%,False,4.00,Consumer Cyclical,True
VRTS,35.80,26.40,False,,18.8%,11.4%,7.35,False,0.54,2026-10-29,,False,7.44,5.32,,WATCH,NORMAL,FAKE-BOUNCE,ACCUM-CONFIRMED-RECENTLY,-4.03,-6.98,MEDIUM,MIXED,0.6%,4.5%,-21.9%,0.62,0.81,True,-61.5%,False,5.00,Financial Services,True
OFG,34.80,31.70,False,22.9,11.3%,8.8%,2.50,True,0.26,2026-09-29,,False,10.24,10.14,,WATCH,BASING,light-dip,ACCUM-CONFIRMED-RECENTLY,8.69,8.98,MEDIUM,MIXED,0.4%,-1.1%,-0.6%,0.69,0.74,True,-4.6%,False,8.00,Financial Services,True
LKFN,34.20,25.20,True,9.3,15.2%,11.7%,3.46,False,0.47,2026-07-23,64.00,False,13.53,13.20,,WATCH,NORMAL,normal,ACCUM-CONFIRMED-RECENTLY,0.00,-0.38,MEDIUM,MIXED,1.1%,-0.3%,0.1%,0.80,1.01,True,-30.6%,False,6.00,Financial Services,True
WEN,34.10,32.60,False,,25.3%,16.7%,8.55,False,0.85,2026-08-31,25.00,False,9.92,12.57,,WATCH,NORMAL,normal,,-4.37,-18.58,SPECULATIVE,CYCLICAL,0.6%,-2.8%,-27.5%,0.82,0.35,False,-73.2%,False,5.00,Consumer Cyclical,True
BANR,32.90,28.90,False,,14.0%,11.1%,2.90,False,0.33,2026-08-03,53.00,False,11.39,10.27,1.83,WATCH,BASING,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.32,-0.10,MEDIUM,MIXED,0.4%,-2.4%,-1.9%,0.67,0.66,False,-11.6%,False,5.00,Financial Services,True
SLB,32.20,18.20,False,,23.4%,21.1%,2.25,False,0.57,2026-09-01,24.00,False,25.14,15.92,,WATCH,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.21,-3.29,MEDIUM,MIXED,0.2%,0.8%,-3.8%,0.54,0.53,False,-17.0%,False,4.00,Energy,True
MC,32.10,37.20,False,0.0,27.0%,22.6%,4.43,False,0.91,2026-08-09,47.00,False,20.47,14.98,,EARLY_TURN,NORMAL,light-dip,ACCUM-CONFIRMED-RECENTLY,0.27,-0.78,MEDIUM,CYCLICAL,1.9%,-1.7%,-12.6%,0.57,0.59,True,-29.1%,False,7.00,Financial Services,True
SNA,31.20,25.20,True,4.5,15.0%,12.4%,2.55,False,0.48,2026-08-18,38.00,False,18.96,17.37,1.89,FUNDAMENTALS_READY_PRICE_FALLING,BASING,light-dip,ACCUM-CONFIRMED-RECENTLY,0.00,0.37,HIGH,MIXED,0.7%,-0.5%,-6.8%,0.14,0.14,True,-12.4%,False,8.00,Industrials,True
TROW,30.60,32.30,False,,8.1%,3.2%,4.87,True,0.52,2026-09-14,11.00,False,10.59,10.22,2.16,EARLY_TURN,NORMAL,light-dip,ACCUM-CONFIRMED-RECENTLY,0.28,7.08,HIGH,MIXED,1.1%,1.2%,-6.3%,0.13,0.12,True,-52.8%,False,8.00,Financial Services,True
BKE,30.50,21.30,False,,12.1%,8.8%,3.31,True,0.32,2026-10-14,,False,9.74,10.19,,WATCH,NORMAL,FAKE-BOUNCE,DISTRIB-CONFIRMED-RECENTLY,-1.35,-7.88,MEDIUM,CYCLICAL,1.8%,4.9%,-4.3%,0.59,0.64,False,-31.5%,False,5.00,Consumer Cyclical,True
STBA,29.80,26.20,False,,8.5%,7.1%,1.45,True,0.38,2026-08-17,39.00,False,13.25,12.46,1.23,WATCH,BASING,normal,ACCUM-CONFIRMED-RECENTLY,0.14,4.56,MEDIUM,MIXED,0.4%,-0.7%,-0.1%,0.85,1.16,True,-6.9%,False,8.00,Financial Services,True
DVN,29.50,20.40,False,,30.6%,28.4%,2.21,False,0.23,2026-09-14,11.00,False,10.23,8.74,2.92,WATCH,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.36,-13.99,HIGH,CYCLICAL,-3.8%,-3.2%,0.5%,0.68,0.84,False,-40.7%,True,6.00,Energy,True
APAM,29.20,28.00,False,,18.8%,9.2%,9.57,True,0.81,2026-08-16,40.00,False,8.67,9.11,,WATCH,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,-1.31,-1.49,HIGH,MIXED,1.1%,-1.4%,-16.9%,0.46,0.49,False,-31.0%,False,6.00,Financial Services,True
