# SCHD-10 build gauge  cohort_stable=50/87  qualified=10  ready=BUILD-SIGNAL (threshold=50%+)  |  run=2026-09-25_1722  universe=1142  cache_hit=48.2%  price_stale=60/1142  fetch_failed=11/1142
ticker,schd_rank_score,schd10_score,schd10_qualified,ready_to_buy_score,total_return_potential,target_upside,div_yield,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div,trailingPE,forwardPE,peg,turn_state,recent_action,vol_event_read,vol_spike_tag,eps_rev_30d,eps_rev_90d,quality_flag,cyclicality,pct_change_1d,pct_change_5d,pct_change_1mo,vol_vs_10d_avg,vol_vs_3mo_avg,vol_spike_recent,dist_from_ath,price_above_ma50,conviction_count,sector,schd_holding
CVX,8.90,2.70,False,19.7,12.9%,9.5%,3.41,True,0.67,2026-08-18,38.00,False,19.64,15.07,0.90,WATCH,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,2.78,7.95,MEDIUM,CYCLICAL,-0.6%,-2.4%,2.1%,0.57,0.78,False,-6.1%,True,8.00,Energy,True
PAYX,5.80,0.90,False,0.0,20.2%,15.7%,4.48,False,0.90,2026-07-27,60.00,False,20.11,15.85,1.85,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,0.15,1.17,MEDIUM,MIXED,-0.2%,-12.7%,-18.8%,0.95,1.23,False,-37.1%,False,8.00,Technology,True
FAST,4.80,-5.00,False,,-1.3%,-3.2%,1.82,False,0.79,2026-07-27,60.00,False,43.10,35.95,3.39,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,0.27,2.29,HIGH,MIXED,-0.6%,2.9%,-1.4%,0.95,0.89,False,-4.7%,True,7.00,Industrials,True
FLO,3.30,27.00,False,,54.9%,37.6%,17.25,False,3.34,2026-09-10,15.00,False,22.08,8.03,,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,-13.13,-14.24,LOW,DEFENSIVE,-1.2%,-3.4%,-19.9%,0.96,1.11,False,-81.0%,False,3.00,Consumer Defensive,True
ADM,-1.80,-14.10,False,,1.7%,-0.9%,2.54,False,0.56,2026-08-18,38.00,False,22.16,14.31,1.02,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,0.67,7.02,LOW,DEFENSIVE,-0.9%,-4.8%,1.3%,0.80,0.85,False,-18.0%,False,6.00,Consumer Defensive,True
AMGN,-1.80,-6.40,False,,-3.8%,-6.1%,2.36,False,0.61,2026-08-20,36.00,False,25.72,16.96,2.45,WATCH,STRENGTH-HOLLOW,FAKE-BOUNCE,ACCUM-CONFIRMED-RECENTLY,0.02,3.94,MEDIUM,MIXED,2.1%,7.5%,-5.8%,0.53,0.65,True,-7.2%,True,5.00,Healthcare,True
MRK,-3.40,0.60,False,,5.5%,3.3%,2.23,True,2.69,2026-09-14,11.00,False,119.98,15.61,2.70,WATCH,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.12,-0.14,MEDIUM,MIXED,0.5%,1.3%,-2.8%,0.73,0.78,False,-5.2%,True,3.00,Healthcare,True
KO,-4.20,-14.10,False,,10.2%,7.8%,2.37,True,0.62,2026-09-14,11.00,False,26.37,24.90,4.03,WATCH,GRINDING-DOWN,light-dip,ACCUM-CONFIRMED-RECENTLY,0.00,1.23,MEDIUM,DEFENSIVE,-0.3%,-0.5%,-2.5%,0.75,0.71,True,-5.1%,True,8.00,Consumer Defensive,True
RHI,-4.70,11.30,False,,1.3%,-5.1%,6.40,False,2.05,2026-08-24,32.00,False,32.08,18.75,,WATCH,ACCUM-STRONG,ELEVATED-CHURN,,-0.02,-4.82,LOW,CYCLICAL,3.1%,-1.3%,-17.2%,1.31,1.12,False,-70.7%,False,5.00,Industrials,True
NSP,-13.50,-8.90,False,,13.2%,8.2%,5.02,True,5.00,2026-09-01,24.00,False,,17.73,,WATCH,GRINDING-DOWN,normal,,-3.50,-6.71,LOW,CYCLICAL,-0.1%,-4.9%,-7.9%,1.10,0.88,True,-63.5%,False,4.00,Industrials,True
MTN,-17.30,-13.50,False,,12.9%,6.4%,6.52,True,1.91,2026-06-24,93.00,False,29.85,22.09,,FALLING_KNIFE,GRINDING-DOWN,ELEVATED-DOWN,DISTRIB-CONFIRMED-RECENTLY,-2.36,-2.71,LOW,CYCLICAL,-1.2%,-2.6%,-8.5%,1.28,1.83,False,-63.8%,False,2.00,Consumer Cyclical,True
