# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
UFPI,LOW,LOW_QUALITY,24.6%,WATCH,0.55,4.14,13.35,0.03,0.04,46.00,False,-7.3%,Basic Materials
OLN,SPECULATIVE,SPECULATIVE,24.4%,WATCH,-15.44,-0.34,199.06,0.16,-0.03,17.30,False,-7.1%,Basic Materials
CI,LOW,LOW_QUALITY,24.4%,FALLING_KNIFE,-0.00,-0.07,74.29,0.11,0.02,44.60,False,-1.7%,Healthcare
F,SPECULATIVE,SPECULATIVE,24.4%,FALLING_KNIFE,6.48,2.13,456.71,-0.15,-0.04,5.70,False,-10.0%,Consumer Cyclical
CMS,SPECULATIVE,SPECULATIVE,24.3%,FALLING_KNIFE,-0.40,-0.03,185.60,-0.11,0.12,24.50,False,-7.3%,Utilities
IRM,SPECULATIVE,SPECULATIVE,24.3%,WATCH,2.09,-0.07,,-0.01,0.06,23.70,False,-4.5%,Real Estate
H,SPECULATIVE,SPECULATIVE,24.3%,WATCH,-0.24,0.19,124.42,0.01,0.02,24.70,False,-12.3%,Consumer Cyclical
SON,LOW,LOW_QUALITY,24.2%,WATCH,-1.35,-0.29,132.43,0.11,0.08,31.60,False,-14.9%,Consumer Cyclical
PPL,SPECULATIVE,SPECULATIVE,24.1%,FALLING_KNIFE,0.05,0.04,135.43,-0.08,0.13,31.50,False,-5.5%,Utilities
ENSG,LOW,LOW_QUALITY,24.1%,CONFIRMED,2.67,0.00,92.03,0.03,0.07,31.80,True,-1.2%,Healthcare
BILL,LOW,LOW_QUALITY,24.0%,FALLING_KNIFE,8.24,6.48,53.74,0.05,-0.01,34.50,False,-3.4%,Technology
SHC,LOW,LOW_QUALITY,24.0%,FALLING_KNIFE,1.11,0.00,340.73,0.03,0.13,35.10,False,-6.3%,Healthcare
HON,LOW,LOW_QUALITY,23.9%,WATCH,-56.58,-0.80,185.37,0.04,0.22,50.30,False,-1.6%,Industrials
AHR,LOW,LOW_QUALITY,23.8%,FALLING_KNIFE,9.39,15.12,41.89,0.03,0.05,41.50,False,-7.0%,Real Estate
GEN,LOW,LOW_QUALITY,23.7%,FALLING_KNIFE,0.62,0.19,307.83,0.10,0.21,46.70,False,-7.8%,Technology
AER,SPECULATIVE,SPECULATIVE,23.4%,FUNDAMENTALS_READY_PRICE_FALLING,6.96,0.00,232.66,-0.07,0.38,40.60,False,-0.7%,Industrials
ETR,SPECULATIVE,SPECULATIVE,23.4%,FALLING_KNIFE,0.83,0.15,186.77,-0.09,0.13,27.90,False,-5.0%,Utilities
YUM,SPECULATIVE,SPECULATIVE,23.4%,EARLY_TURN,-6.52,-6.20,,0.02,0.25,62.80,False,-8.4%,Consumer Cyclical
OGS,SPECULATIVE,SPECULATIVE,23.3%,FALLING_KNIFE,1.08,0.15,95.90,-0.05,0.12,34.60,False,-8.3%,Utilities
MKC,LOW,LOW_QUALITY,23.3%,WATCH,-1.16,-0.07,65.14,0.05,0.22,53.60,False,-12.0%,Consumer Defensive
SUI,LOW,LOW_QUALITY,23.1%,FALLING_KNIFE,13.52,5.37,72.85,0.13,-0.37,44.80,False,-7.4%,Real Estate
BCE,SPECULATIVE,SPECULATIVE,22.9%,FALLING_KNIFE,-1.89,-0.49,172.78,0.13,0.26,51.40,False,-8.4%,Communication Services
USFD,LOW,LOW_QUALITY,22.7%,EARLY_TURN,0.51,0.41,126.31,0.04,0.02,28.20,False,-13.7%,Consumer Defensive
VG,SPECULATIVE,SPECULATIVE,22.6%,FALLING_KNIFE,9.81,0.00,354.62,-0.25,0.22,33.50,False,-4.4%,Energy
GPN,SPECULATIVE,SPECULATIVE,22.6%,FALLING_KNIFE,-1.13,0.37,98.27,0.35,-0.09,43.50,False,-9.8%,Industrials
GFL,SPECULATIVE,SPECULATIVE,22.4%,WATCH,18.79,18.97,134.49,0.02,-0.03,20.40,True,1.9%,Industrials
LNT,SPECULATIVE,SPECULATIVE,22.2%,FALLING_KNIFE,0.01,0.00,160.95,-0.07,0.18,30.00,False,-5.9%,Utilities
TM,SPECULATIVE,SPECULATIVE,22.2%,WATCH,-18.98,-0.14,114.97,-15.88,0.09,23.00,True,-2.9%,Consumer Cyclical
HUBB,LOW,LOW_QUALITY,22.2%,WATCH,2.06,0.18,141.64,0.02,0.14,41.50,False,-0.8%,Industrials
BKH,SPECULATIVE,SPECULATIVE,22.1%,WATCH,0.00,0.00,111.69,-0.01,0.13,33.90,False,-1.1%,Utilities
ITT,LOW,LOW_QUALITY,22.1%,WATCH,3.65,0.01,79.73,0.02,0.09,37.00,True,1.7%,Industrials
TKO,LOW,LOW_QUALITY,22.0%,WATCH,0.85,-0.16,59.22,0.02,0.04,51.30,True,-1.8%,Communication Services
LEA,LOW,LOW_QUALITY,22.0%,WATCH,-1.96,-0.30,66.03,0.11,0.02,38.70,False,-4.6%,Consumer Cyclical
ALSN,LOW,LOW_QUALITY,21.9%,FALLING_KNIFE,1.54,0.00,211.93,0.02,0.12,31.00,False,-14.1%,Consumer Cyclical
CNP,SPECULATIVE,SPECULATIVE,21.8%,FALLING_KNIFE,0.26,0.03,210.26,-0.21,0.12,26.40,False,-3.9%,Utilities
BALL,LOW,LOW_QUALITY,21.8%,FALLING_KNIFE,0.06,0.00,131.50,0.02,0.07,28.20,False,-6.3%,Consumer Cyclical
IDA,SPECULATIVE,SPECULATIVE,21.6%,FALLING_KNIFE,0.09,-0.05,105.98,-0.16,0.19,39.10,False,-5.7%,Utilities
ROP,LOW,LOW_QUALITY,21.6%,FALLING_KNIFE,1.83,0.00,60.53,0.06,0.30,67.10,False,-11.1%,Technology
RGLD,SPECULATIVE,SPECULATIVE,21.5%,WATCH,-4.22,-0.36,5.19,-0.01,0.48,73.70,True,-2.3%,Basic Materials
WPM,SPECULATIVE,SPECULATIVE,21.4%,WATCH,-11.65,-1.46,20.40,-0.05,0.65,65.20,True,-7.0%,Basic Materials
SW,LOW,LOW_QUALITY,21.4%,WATCH,7.84,1.32,78.43,0.05,0.02,38.40,True,-5.1%,Consumer Cyclical
DTM,LOW,LOW_QUALITY,21.4%,WATCH,-1.84,0.05,68.54,0.01,0.36,57.40,False,-0.4%,Energy
CTRE,SPECULATIVE,SPECULATIVE,21.3%,FALLING_KNIFE,1.81,-0.06,26.70,-0.01,0.62,69.50,False,-5.9%,Real Estate
FDX,LOW,LOW_QUALITY,21.1%,WATCH,-5.18,0.41,135.70,0.08,0.05,41.80,False,-9.8%,Industrials
URI,LOW,LOW_QUALITY,21.1%,WATCH,6.10,0.20,166.79,0.03,0.16,47.40,False,-4.5%,Industrials
AEP,SPECULATIVE,SPECULATIVE,20.9%,FALLING_KNIFE,0.01,0.05,160.79,-0.09,0.14,28.40,False,-2.1%,Utilities
PWR,LOW,LOW_QUALITY,20.9%,FUNDAMENTALS_READY_PRICE_FALLING,19.77,1.23,67.78,0.02,0.04,44.70,False,-0.5%,Industrials
LUV,SPECULATIVE,SPECULATIVE,20.8%,WATCH,3.39,-4.01,97.28,-0.04,0.03,19.40,False,2.6%,Industrials
QSR,SPECULATIVE,SPECULATIVE,20.6%,FALLING_KNIFE,-0.21,0.20,290.10,0.05,0.13,43.50,False,-11.8%,Consumer Cyclical
NGG,SPECULATIVE,SPECULATIVE,20.3%,FALLING_KNIFE,0.40,0.40,121.29,-0.04,0.18,36.90,False,-5.0%,Utilities
GATX,SPECULATIVE,SPECULATIVE,20.3%,CONFIRMED,0.43,0.91,347.59,-0.77,0.18,31.50,True,3.2%,Industrials
ACI,SPECULATIVE,SPECULATIVE,20.3%,FALLING_KNIFE,-24.90,-2.06,973.59,0.30,0.00,22.00,False,-4.7%,Consumer Defensive
FE,SPECULATIVE,SPECULATIVE,20.1%,FALLING_KNIFE,0.09,-0.00,200.91,-0.08,0.07,20.30,False,-4.2%,Utilities
OPCH,LOW,LOW_QUALITY,20.1%,WATCH,1.62,0.04,100.65,0.07,0.04,27.40,True,0.4%,Healthcare
LITE,LOW,LOW_QUALITY,20.1%,WATCH,40.40,20.27,35.99,0.00,-2.30,44.90,True,10.4%,Technology
PKX,SPECULATIVE,SPECULATIVE,20.1%,FALLING_KNIFE,2.15,2.15,49.60,-202.01,0.02,29.80,False,-1.2%,Basic Materials
SAM,LOW,LOW_QUALITY,20.0%,FALLING_KNIFE,-7.58,-2.56,4.42,0.22,-0.04,47.10,False,-10.8%,Consumer Defensive
SR,SPECULATIVE,SPECULATIVE,20.0%,FALLING_KNIFE,-0.63,-0.13,202.61,-0.07,0.21,23.90,False,-4.5%,Utilities
