# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
SARO,LOW,LOW_QUALITY,54.5%,FUNDAMENTALS_READY_PRICE_FALLING,0.67,-0.48,93.21,0.05,0.05,34.10,False,-9.0%,Industrials
TLN,SPECULATIVE,SPECULATIVE,53.6%,EARLY_TURN,-0.01,5.53,584.14,0.09,-0.05,19.10,False,-4.7%,Utilities
HGV,SPECULATIVE,SPECULATIVE,53.1%,WATCH,-5.89,-2.80,624.09,-0.05,0.03,16.40,False,-19.7%,Consumer Cyclical
VVV,LOW,LOW_QUALITY,53.1%,EARLY_TURN,-3.29,-0.05,474.99,0.02,0.05,19.10,False,-16.0%,Consumer Cyclical
RKLB,SPECULATIVE,SPECULATIVE,52.6%,CONFIRMED,-5.77,-16.44,3.83,-0.01,-0.22,40.90,True,-1.3%,Industrials
RCL,SPECULATIVE,SPECULATIVE,52.6%,FALLING_KNIFE,1.38,0.05,224.82,-0.02,0.24,31.30,False,-22.0%,Consumer Cyclical
WHR,SPECULATIVE,SPECULATIVE,52.3%,EARLY_TURN,-21.74,-1.28,205.43,-0.22,0.01,11.70,False,-17.6%,Consumer Cyclical
MP,SPECULATIVE,SPECULATIVE,51.7%,WATCH,-20.53,-0.46,41.40,-0.05,-0.15,31.80,False,-18.4%,Basic Materials
ALB,LOW,LOW_QUALITY,51.5%,EARLY_TURN,-6.46,-1.96,18.98,0.10,0.04,64.20,False,-21.0%,Basic Materials
CHTR,SPECULATIVE,SPECULATIVE,50.6%,FALLING_KNIFE,-8.05,-7.07,441.58,0.14,0.09,37.70,False,-20.8%,Communication Services
GXO,SPECULATIVE,SPECULATIVE,50.6%,WATCH,1.72,0.60,202.48,0.07,0.01,16.20,False,-0.2%,Industrials
NXST,SPECULATIVE,SPECULATIVE,49.0%,EARLY_TURN,-3.72,0.00,533.79,0.16,0.03,29.00,False,-11.0%,Communication Services
SLGN,SPECULATIVE,SPECULATIVE,48.6%,FALLING_KNIFE,0.24,0.19,203.15,0.08,0.04,21.60,False,-12.2%,Consumer Cyclical
TMUS,LOW,LOW_QUALITY,48.6%,FALLING_KNIFE,2.55,0.00,214.03,0.06,0.11,48.80,False,-9.9%,Communication Services
SGI,SPECULATIVE,SPECULATIVE,47.5%,FALLING_KNIFE,0.69,9.50,198.09,0.05,0.07,27.70,False,-2.1%,Consumer Cyclical
BMRN,SPECULATIVE,SPECULATIVE,47.5%,FALLING_KNIFE,2.42,1.35,66.47,0.01,0.02,37.50,False,-6.9%,Healthcare
NCLH,SPECULATIVE,SPECULATIVE,47.0%,FALLING_KNIFE,-16.36,-1.55,621.05,-0.26,0.07,14.30,False,-19.1%,Consumer Cyclical
CELH,LOW,LOW_QUALITY,46.7%,WATCH,-14.71,-0.60,22.80,0.05,0.04,51.80,False,-13.6%,Consumer Defensive
BN,SPECULATIVE,SPECULATIVE,46.4%,WATCH,,,161.38,-0.02,0.02,21.90,False,-10.8%,Financial Services
SPCX,LOW,LOW_QUALITY,45.5%,WATCH,100.00,8.69,31.21,,-0.36,43.00,True,11.6%,Industrials
FBIN,LOW,LOW_QUALITY,45.0%,WATCH,-7.49,-2.32,121.29,0.06,0.03,28.40,False,-11.7%,Industrials
JD,LOW,LOW_QUALITY,45.0%,EARLY_TURN,-3.64,-0.59,37.29,0.44,0.01,53.70,False,-7.4%,Consumer Cyclical
SMG,SPECULATIVE,SPECULATIVE,44.5%,EARLY_TURN,0.78,0.00,,0.08,0.02,26.70,False,-12.5%,Basic Materials
LAD,SPECULATIVE,SPECULATIVE,44.4%,FALLING_KNIFE,4.43,1.06,257.70,0.08,0.02,19.30,False,-16.3%,Consumer Cyclical
CPRI,SPECULATIVE,SPECULATIVE,44.0%,WATCH,8.97,-2.80,973.43,0.11,0.04,13.10,True,14.6%,Consumer Cyclical
TNL,SPECULATIVE,SPECULATIVE,43.6%,FALLING_KNIFE,5.05,0.49,,0.14,0.06,43.90,False,-11.9%,Consumer Cyclical
FIS,SPECULATIVE,SPECULATIVE,43.6%,FALLING_KNIFE,-2.17,-0.04,132.51,0.15,0.28,54.10,False,-15.8%,Technology
STM,LOW,LOW_QUALITY,43.3%,WATCH,3.75,0.04,23.45,0.00,0.04,42.80,False,3.5%,Technology
MCHP,LOW,LOW_QUALITY,43.2%,FUNDAMENTALS_READY_PRICE_FALLING,11.45,0.40,83.69,0.03,0.09,52.30,False,-1.0%,Technology
WH,SPECULATIVE,SPECULATIVE,43.1%,WATCH,-0.77,-0.44,557.29,0.07,0.15,36.00,False,-8.6%,Consumer Cyclical
ALK,SPECULATIVE,SPECULATIVE,42.9%,WATCH,-31.06,-25.33,207.52,-0.01,-0.01,9.70,False,0.3%,Industrials
RKT,SPECULATIVE,SPECULATIVE,42.3%,WATCH,-20.01,-1.71,140.91,-0.10,0.05,27.10,False,-10.7%,Financial Services
STZ,LOW,LOW_QUALITY,42.3%,FALLING_KNIFE,-0.70,-0.68,123.20,0.11,0.20,56.50,False,-14.3%,Consumer Defensive
BURL,LOW,LOW_QUALITY,42.1%,EARLY_TURN,-1.32,-1.72,294.97,0.01,0.06,16.50,False,-21.4%,Consumer Cyclical
BCO,LOW,LOW_QUALITY,42.0%,WATCH,-2.97,-2.23,1030,0.09,0.03,18.80,False,-4.9%,Industrials
BTSG,LOW,LOW_QUALITY,41.2%,FUNDAMENTALS_READY_PRICE_FALLING,7.68,0.00,116.01,0.09,0.03,32.40,False,-5.0%,Healthcare
CBRS,SPECULATIVE,SPECULATIVE,40.7%,WATCH,,32.50,16.24,,-0.75,47.50,True,5.7%,Technology
OC,LOW,LOW_QUALITY,40.7%,FUNDAMENTALS_READY_PRICE_FALLING,1.03,-0.39,150.33,0.09,-0.07,31.00,False,-16.0%,Industrials
CARR,LOW,LOW_QUALITY,39.9%,EARLY_TURN,3.26,0.09,92.00,0.02,0.06,38.70,False,-8.1%,Industrials
ECHO,SPECULATIVE,SPECULATIVE,39.8%,WATCH,100.00,45.36,123.76,-0.69,-0.39,20.80,True,8.3%,Communication Services
MIDD,LOW,LOW_QUALITY,39.6%,WATCH,-28.04,0.48,90.52,0.12,-0.14,36.30,False,-3.3%,Industrials
MSTR,SPECULATIVE,SPECULATIVE,39.4%,WATCH,-7.89,100.00,14.94,-0.35,0.00,37.50,True,38.2%,Technology
FLEX,LOW,LOW_QUALITY,39.4%,WATCH,2.29,0.00,107.82,0.01,0.03,31.10,False,4.2%,Technology
NOK,LOW,LOW_QUALITY,39.3%,WATCH,-0.75,-2.72,15.78,0.02,0.03,55.40,True,5.2%,Technology
POST,SPECULATIVE,SPECULATIVE,38.9%,WATCH,-17.03,0.00,247.07,0.11,0.03,22.50,False,-5.9%,Consumer Defensive
SITM,LOW,LOW_QUALITY,38.8%,WATCH,37.98,0.10,129.42,0.00,0.03,24.80,True,-0.5%,Technology
VC,LOW,LOW_QUALITY,38.5%,FALLING_KNIFE,7.19,-0.07,25.70,0.08,0.04,43.30,False,-12.1%,Consumer Cyclical
APG,LOW,LOW_QUALITY,38.5%,FUNDAMENTALS_READY_PRICE_FALLING,1.66,-0.13,109.27,0.04,0.04,33.00,False,-8.1%,Industrials
MAT,LOW,LOW_QUALITY,38.3%,WATCH,0.03,-0.13,137.44,0.11,0.08,28.40,False,-9.6%,Consumer Cyclical
TTWO,LOW,LOW_QUALITY,38.2%,WATCH,-3.31,-0.09,81.61,0.03,-0.05,34.40,False,-13.5%,Communication Services
FDXF,SPECULATIVE,SPECULATIVE,38.2%,WATCH,-2.14,0.19,,-0.03,0.07,17.90,False,-14.1%,Industrials
ORA,SPECULATIVE,SPECULATIVE,38.1%,FUNDAMENTALS_READY_PRICE_FALLING,3.38,-2.96,124.34,-0.05,0.11,28.00,False,-10.8%,Utilities
ELAN,LOW,LOW_QUALITY,37.4%,WATCH,8.20,1.77,64.25,0.07,-0.04,39.60,False,-5.2%,Healthcare
FER,SPECULATIVE,SPECULATIVE,37.3%,EARLY_TURN,-8.14,-10.57,144.09,0.02,0.06,32.90,False,-11.9%,Industrials
XRAY,LOW,LOW_QUALITY,37.2%,EARLY_TURN,-2.50,-1.12,172.24,0.07,-0.15,17.60,False,-9.7%,Healthcare
BC,LOW,LOW_QUALITY,37.2%,FALLING_KNIFE,1.53,0.00,136.48,0.09,-0.02,23.00,False,-18.2%,Consumer Cyclical
TEX,LOW,LOW_QUALITY,37.0%,FALLING_KNIFE,2.83,2.69,54.56,0.03,0.02,35.30,False,-12.2%,Industrials
PII,LOW,LOW_QUALITY,36.9%,FALLING_KNIFE,9.19,0.10,244.90,0.09,-0.03,15.60,False,-18.4%,Consumer Cyclical
CWEN,SPECULATIVE,SPECULATIVE,36.8%,EARLY_TURN,-29.27,-40.16,176.90,0.06,0.06,32.50,False,-6.1%,Utilities
COHR,SPECULATIVE,SPECULATIVE,36.4%,WATCH,11.50,0.07,31.61,-0.01,0.11,46.20,True,5.2%,Technology
LPX,SPECULATIVE,SPECULATIVE,36.3%,WATCH,-19.82,0.31,21.62,-0.02,0.02,40.70,False,-7.7%,Industrials
