# run=2026-09-24_0754  universe=1144  cache_hit=47.6%  price_stale=1072/1144  fetch_failed=10/1144
ready_to_buy_score,ticker,price,target_upside,quality_flag,cyclicality,cyclical_driver,cycle_position,cycle_reason,turn_state,turn_persist,trailingPE,forwardPE,peg,pe_delta,eps_rev_90d,eps_rev_30d,rev_accel,rsi14,pct_change_1d,pct_change_5d,pct_change_1mo,dist_from_ath,pct_from_52wk_high,pct_from_52wk_low,pct_from_ma50,close_vs_range,recent_action,gap_pct,intraday_range_pct,trend_3d,days_since_5pct_move,last_5pct_direction,price_above_ma50,sector,vol_1d,vol_10d_avg,vol_3mo_avg,vol_vs_10d_avg,vol_vs_3mo_avg,vol_event,vol_event_read,volume_trend,vol_spike_tag,days_since_vol_spike,last_vol_spike_direction,last_vol_spike_magnitude,vol_spike_recent,rtb_b4,rtb_b2,rtb_b3,rtb_b1,rtb_b5,rtb_b1_confirm,rtb_b1_ma50,rtb_b1_5d,rtb_b1_1mo,rtb_b1_combo,rtb_quality_pts,rtb_cycle_pts,rtb_f1_timing,rtb_f2_estimates,rtb_f3_ath,rtb_f4_targets,rtb_f5_trend,rtb_f6_volume,rtb_f7_cycle,div_yield,total_return_potential,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div
37.6,ULS,65.38,48.8%,HIGH,MIXED,ECONOMIC,MID,"margins expanding, estimates not yet moving",EARLY_TURN,,26.36,25.13,1.36,1.20,0.84,0.00,-0.84,27.70,-1.4%,1.0%,-12.9%,-39.2%,-39.2%,3.5%,-16.2%,9.40,NORMAL,-0.21,2.11,MIXED,5.00,DOWN,False,Industrials,690399,1045360,926628,0.66,0.74,LIGHT,light-dip,1.13,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.66,False,10.0,0.4,5.2,0.0,22.0,6.0,-4.0,3.0,-5.0,0.0,10.0,0.0,0.0,0.4,5.2,22.0,,,10.0,0.84,49.7%,False,0.22,2026-08-30,25.00,False
37.6,ATR,124.74,36.4%,MEDIUM,DEFENSIVE,,MID,fwd<trail PE but eps30=0.8 flat/weak → MID,EARLY_TURN,,22.64,19.75,,2.90,0.71,0.81,0.10,39.50,1.1%,0.1%,-7.5%,-29.9%,-15.1%,20.8%,-4.7%,19.70,NORMAL,1.65,0.98,MIXED,115.00,UP,False,Healthcare,335317,480200,459336,0.70,0.73,LIGHT,light-dip,1.04,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.79,False,8.0,1.2,6.4,0.0,22.0,6.0,-4.0,3.0,-5.0,0.0,8.0,0.0,0.0,1.2,6.4,22.0,,,8.0,1.52,37.9%,False,0.34,2026-07-29,57.00,False
37.5,GMED,73.96,39.6%,MEDIUM,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=25%),FUNDAMENTALS_READY_PRICE_FALLING,,18.92,13.70,,5.20,4.91,0.64,-4.27,35.00,-0.4%,-1.0%,-14.9%,-27.1%,-27.1%,36.6%,-7.4%,13.20,GRINDING-DOWN,0.89,2.15,MIXED,56.00,UP,False,Healthcare,1456750,1676910,1646484,0.87,0.89,NORMAL,normal,1.02,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.76,False,8.0,3.3,10.2,-6.0,22.0,3.0,-4.0,0.0,-5.0,0.0,8.0,0.0,-6.0,3.3,10.2,22.0,,,8.0,,39.6%,False,0.00,,,False
37.5,TME,8.22,60.2%,HIGH,MIXED,ECONOMIC,MID,"margins expanding, estimates not yet moving",WATCH,,9.67,8.16,,1.50,-5.99,0.00,5.99,47.70,0.6%,4.2%,-6.6%,-69.2%,-66.1%,6.8%,-6.0%,71.80,NORMAL,-0.37,2.37,RISING,1.00,UP,False,Communication Services,8342547,7435090,9762850,1.12,0.85,NORMAL,normal,0.76,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.58,False,10.0,-3.2,13.7,-3.0,20.0,3.0,-4.0,3.0,-5.0,0.0,10.0,0.0,-3.0,-3.2,13.7,20.0,,,10.0,2.92,63.1%,False,0.29,2026-04-01,176.00,False
37.5,WMG,27.16,39.0%,MEDIUM,MIXED,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",FALLING_KNIFE,,21.73,13.78,0.49,7.90,0.62,0.53,-0.09,43.80,-1.9%,-6.5%,0.1%,-45.9%,-23.3%,16.4%,-1.0%,36.20,GRINDING-DOWN,-2.02,2.14,FALLING,29.00,DOWN,False,Communication Services,1192790,2339580,2207283,0.51,0.54,LIGHT,light-dip,1.06,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.18,True,8.0,0.9,12.6,-6.0,22.0,3.0,-6.0,-3.0,0.0,0.0,8.0,0.0,-6.0,0.9,12.6,22.0,,,8.0,2.80,41.8%,False,0.61,2026-08-19,36.00,False
37.4,STX,923.86,21.8%,MEDIUM,CYCLICAL,CAPEX,MID,margins expanding + est rising (op_m=43%),WATCH,CONFIRMED-1d (holding),66.23,16.68,0.53,49.50,42.28,27.46,-14.82,60.10,5.3%,19.7%,8.7%,-19.3%,-19.3%,342.0%,9.5%,92.50,STRENGTH-HOLLOW,4.09,4.55,RISING,0.00,UP,True,Technology,3216535,4189680,4411811,0.77,0.73,LIGHT,FAKE-BOUNCE,0.95,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.58,True,-2.0,20.0,7.4,14.0,3.0,3.0,4.0,3.0,4.0,0.0,8.0,-10.0,14.0,20.0,7.4,3.0,,,-2.0,0.32,22.1%,False,0.21,2026-09-23,1.00,True
37.3,AMAT,474.38,35.1%,HIGH,CYCLICAL,CAPEX,MID,margins expanding + est rising (op_m=34%),WATCH,,41.00,25.70,0.94,15.30,13.24,0.62,-12.62,52.50,0.4%,14.2%,-2.0%,-35.9%,-35.9%,141.8%,-4.0%,96.30,FELL-RECOVERED,-0.26,2.93,RISING,3.00,UP,False,Technology,4582892,6946530,8758248,0.66,0.52,LIGHT,FAKE-BOUNCE,0.79,ACCUM-CONFIRMED-RECENTLY,4.00,UP,1.63,True,0.0,7.7,5.6,2.0,22.0,3.0,0.0,3.0,-4.0,0.0,10.0,-10.0,2.0,7.7,5.6,22.0,,,0.0,0.42,35.5%,False,0.16,2026-11-18,,False
36.5,CMI,524.65,43.4%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=12%),FALLING_KNIFE,,26.81,15.18,1.06,11.60,5.66,4.47,-1.19,30.30,-1.9%,-2.5%,-10.7%,-28.9%,-28.9%,30.9%,-12.9%,95.50,FELL-RECOVERED,-2.62,2.05,MIXED,38.00,DOWN,False,Industrials,1413919,1235090,1044732,1.15,1.35,NORMAL,normal,1.18,,3.00,UP,1.64,True,10.0,7.5,5.0,-8.0,22.0,3.0,-6.0,0.0,-5.0,0.0,8.0,2.0,-8.0,7.5,5.0,22.0,,,10.0,1.52,45.0%,False,0.41,2026-08-20,35.00,False
35.9,RMBS,103.47,42.9%,HIGH,CYCLICAL,COMMODITY,MID,"margins expanding, estimates not yet moving",WATCH,CONFIRMED-1d (holding),47.46,27.81,3.80,19.70,1.95,0.66,-1.29,65.20,6.7%,24.5%,13.4%,-40.6%,-40.6%,32.8%,11.1%,49.70,NORMAL,8.37,5.93,RISING,0.00,UP,True,Technology,3067392,3204560,2782918,0.96,1.10,NORMAL,normal,1.15,ACCUM-CONFIRMED-RECENTLY,2.00,UP,1.53,True,0.0,1.7,-3.8,16.0,22.0,3.0,4.0,3.0,6.0,0.0,10.0,-10.0,16.0,1.7,-3.8,22.0,,,0.0,,42.9%,False,0.00,,,False
35.4,PDD,79.20,44.6%,HIGH,CYCLICAL,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",EARLY_TURN,,8.52,6.43,,2.10,-1.17,0.07,1.24,40.30,-0.1%,1.4%,-10.4%,-51.9%,-43.2%,10.1%,-6.7%,61.00,BASING,0.13,1.04,MIXED,27.00,DOWN,False,Consumer Cyclical,4451638,7016890,8192620,0.63,0.54,LIGHT,light-dip,0.86,,,,,False,14.0,-0.6,0.0,0.0,22.0,6.0,-4.0,3.0,-5.0,0.0,10.0,4.0,0.0,-0.6,0.0,22.0,,,14.0,,44.6%,False,0.00,,,False
35.3,EHC,122.21,21.2%,MEDIUM,MIXED,ECONOMIC,EARLY,margins expanding + est rising (op_m=18%),WATCH,,20.40,18.30,0.41,2.10,2.14,0.00,-2.14,55.00,0.5%,0.2%,1.6%,-4.5%,-4.5%,31.7%,3.0%,10.20,NORMAL,0.96,2.40,MIXED,32.00,UP,True,Healthcare,954424,834720,937420,1.14,1.02,NORMAL,normal,0.89,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.54,False,8.0,1.1,11.2,12.0,3.0,3.0,4.0,3.0,2.0,0.0,8.0,0.0,12.0,1.1,11.2,3.0,,,8.0,0.62,21.9%,False,0.13,2026-09-30,,False
35.3,TXN,272.62,19.1%,HIGH,CYCLICAL,COMMODITY,TROUGH,"margins contracting, estimates stabilising",WATCH,,41.49,25.61,0.97,15.90,13.64,0.66,-12.98,55.90,0.7%,3.5%,3.1%,-18.4%,-18.4%,78.5%,0.0%,95.60,NORMAL,0.23,2.31,RISING,34.00,UP,True,Technology,5549469,6929310,7816407,0.80,0.71,NORMAL,normal,0.89,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.44,True,15.0,7.9,5.4,12.0,-5.0,3.0,4.0,3.0,2.0,0.0,10.0,8.0,12.0,7.9,5.4,-5.0,,,15.0,2.06,21.2%,False,0.85,2026-10-29,,False
35.0,SHG,79.83,25.3%,MEDIUM,MIXED,RATE,EARLY,fwd<trail PE + healthy margins (op_m=45%) → grower (EARLY),FALLING_KNIFE,,10.05,8.55,,1.50,4.85,0.00,-4.85,50.80,-3.0%,-3.4%,7.0%,-6.7%,-6.7%,69.7%,5.1%,50.00,GRINDING-DOWN,-3.03,1.40,MIXED,37.00,UP,True,Financial Services,141404,142440,228811,0.99,0.62,NORMAL,normal,0.62,,,,,False,8.0,2.6,13.4,8.0,3.0,3.0,4.0,-3.0,4.0,0.0,8.0,0.0,8.0,2.6,13.4,3.0,,,8.0,2.51,27.8%,False,0.25,2026-07-29,57.00,False
34.3,ADI,385.23,22.2%,MEDIUM,CYCLICAL,COMMODITY,MID,margins expanding + est rising (op_m=40%),WATCH,CONFIRMED-1d (holding),45.64,23.56,0.58,22.10,10.60,8.54,-2.06,60.10,0.6%,6.6%,3.2%,-13.6%,-13.6%,72.4%,3.2%,56.30,NORMAL,1.55,2.87,RISING,34.00,UP,True,Technology,3203561,3621670,4437212,0.89,0.72,NORMAL,normal,0.82,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.74,True,-2.0,14.2,7.1,12.0,3.0,3.0,4.0,3.0,2.0,0.0,8.0,-10.0,12.0,14.2,7.1,3.0,,,-2.0,1.11,23.3%,False,0.50,2026-08-31,24.00,False
33.2,CHWY,18.55,55.4%,MEDIUM,MIXED,ECONOMIC,MID,"margins expanding, estimates not yet moving",FALLING_KNIFE,,28.54,9.93,0.38,18.60,1.36,1.66,0.30,27.70,-5.7%,-11.3%,-24.3%,-77.0%,-54.3%,6.6%,-17.0%,4.10,DISTRIBUTION,0.20,6.52,FALLING,0.00,DOWN,False,Consumer Cyclical,16745681,11396120,9193481,1.47,1.82,ELEVATED,ELEVATED-DOWN,1.24,DISTRIB-CONFIRMED-RECENTLY,1.00,DOWN,1.82,False,8.0,2.4,13.8,-11.0,20.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,2.4,13.8,20.0,,,8.0,,55.4%,False,0.00,,,False
32.5,NU,13.62,37.2%,MEDIUM,MIXED,RATE,MID,fwd<trail PE + healthy margins (op_m=50%) → grower (MID),FALLING_KNIFE,,18.66,12.09,0.65,6.60,1.96,0.09,-1.87,40.10,-3.1%,-4.0%,-6.6%,-28.2%,-28.2%,21.6%,-5.4%,8.70,GRINDING-DOWN,0.07,5.07,MIXED,13.00,UP,False,Financial Services,62807015,68845270,74952502,0.91,0.84,NORMAL,normal,0.92,,,,,False,8.0,1.1,12.4,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,1.1,12.4,22.0,,,8.0,,37.2%,False,0.00,,,False
32.4,SMTC,169.33,23.2%,MEDIUM,CYCLICAL,COMMODITY,EARLY,margins expanding + est rising (op_m=16%),WATCH,CONFIRMED-5d (holding),114.41,29.02,1.21,85.40,50.19,47.91,-2.28,58.10,-4.5%,12.2%,36.5%,-11.2%,-11.2%,194.5%,22.3%,45.50,NORMAL,-1.62,5.60,FALLING,3.00,UP,True,Technology,3802444,3744300,3511401,1.02,1.08,NORMAL,normal,1.07,,3.00,UP,1.73,True,12.0,20.0,4.4,16.0,0.0,3.0,4.0,3.0,6.0,0.0,8.0,4.0,16.0,20.0,4.4,0.0,,,12.0,,23.2%,False,0.00,1980-09-04,16821,False
32.3,UBER,69.42,45.2%,HIGH,MIXED,ECONOMIC,EARLY,margins expanding + est rising (op_m=13%),FUNDAMENTALS_READY_PRICE_FALLING,,15.22,15.73,,-0.50,2.10,-1.68,-3.78,36.90,-0.7%,-2.2%,-12.4%,-31.9%,-31.5%,6.1%,-5.5%,58.40,GRINDING-DOWN,-0.47,2.15,FALLING,32.00,UP,False,Technology,17676945,21505750,19765655,0.82,0.89,NORMAL,normal,1.09,ACCUM-CONFIRMED-RECENTLY,10.00,UP,1.79,True,10.0,-0.6,8.9,-8.0,22.0,3.0,-6.0,0.0,-5.0,0.0,10.0,0.0,-8.0,-0.6,8.9,22.0,,,10.0,,45.2%,False,0.00,,,False
32.1,CXT,48.42,41.9%,MEDIUM,CYCLICAL,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",WATCH,,18.91,10.27,,8.60,-0.42,0.31,0.73,47.70,5.8%,1.8%,-3.5%,-29.8%,-29.8%,35.6%,-4.4%,58.90,NORMAL,5.37,4.32,RISING,0.00,UP,False,Industrials,747803,635830,811608,1.18,0.92,NORMAL,normal,0.78,,,,,False,12.0,0.1,0.0,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,4.0,-2.0,0.1,0.0,22.0,,,12.0,1.45,43.4%,False,0.29,2026-08-30,25.00,False
32.1,AFRM,68.09,45.5%,MEDIUM,MIXED,RATE,EARLY,margins expanding + est rising (op_m=13%),FUNDAMENTALS_READY_PRICE_FALLING,,12.31,14.10,,-1.80,2.05,2.10,0.05,39.90,-4.2%,-5.5%,-11.6%,-61.5%,-24.7%,61.8%,-8.5%,30.30,DISTRIBUTION,0.15,7.10,FALLING,7.00,UP,False,Financial Services,6207194,4311030,4457991,1.44,1.39,ELEVATED,ELEVATED-DOWN,0.97,DISTRIB-CONFIRMED-RECENTLY,15.00,DOWN,1.79,False,8.0,3.2,9.9,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,3.2,9.9,22.0,,,8.0,,45.5%,False,0.00,,,False
32.0,XYL,108.64,41.6%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=17%),FUNDAMENTALS_READY_PRICE_FALLING,,25.68,17.39,,8.30,2.50,0.69,-1.81,44.00,1.3%,1.1%,-4.2%,-29.6%,-29.6%,3.2%,-5.6%,76.60,NORMAL,-0.22,1.97,MIXED,154.00,DOWN,False,Industrials,1873253,3119210,2052621,0.60,0.91,LIGHT,light-dip,1.52,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,2.14,False,10.0,2.0,0.0,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,2.0,-2.0,2.0,0.0,22.0,,,10.0,1.53,43.2%,False,0.40,2026-08-26,29.00,False
31.9,BHF,51.99,25.0%,MEDIUM,MIXED,RATE,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,4.12,2.58,,1.50,3.77,1.85,-1.92,45.30,4.3%,6.1%,-0.5%,-22.2%,-22.2%,16.8%,-8.9%,14.50,GAP-UP-FADED,4.09,3.26,MIXED,25.00,DOWN,False,Financial Services,1483800,1182370,742500,1.25,2.00,ELEVATED,ELEVATED-UP,1.59,,1.00,UP,2.00,True,8.0,3.9,15.0,2.0,3.0,3.0,-4.0,3.0,0.0,0.0,8.0,0.0,2.0,3.9,15.0,3.0,,,8.0,,25.0%,False,0.00,,,False
31.6,EVR,259.89,40.0%,MEDIUM,MIXED,RATE,MID,fwd<trail PE but eps30=0.0 flat/weak → MID,WATCH,,14.64,11.51,,3.10,-1.85,0.00,1.85,29.00,-3.4%,-4.0%,-11.0%,-33.1%,-33.1%,0.5%,-14.4%,16.40,GRINDING-DOWN,-3.25,3.00,MIXED,38.00,DOWN,False,Financial Services,496385,497950,461257,1.00,1.08,NORMAL,normal,1.08,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.80,False,8.0,-1.0,11.6,-9.0,22.0,3.0,-4.0,-3.0,-5.0,0.0,8.0,0.0,-9.0,-1.0,11.6,22.0,,,8.0,1.33,41.3%,False,0.19,2026-08-27,28.00,False
31.4,TCEHY,55.91,72.7%,HIGH,MIXED,ECONOMIC,MID,"margins expanding, estimates not yet moving",WATCH,,14.71,13.36,,1.40,-18.48,0.00,18.48,49.30,0.1%,0.2%,-3.7%,-36.2%,-36.2%,5.8%,-2.9%,33.30,BASING,0.47,1.18,RISING,28.00,DOWN,False,Communication Services,980859,3229680,3862311,0.30,0.25,VERY_LIGHT,light-dip,0.84,,,,,False,10.0,-7.0,10.4,-2.0,20.0,3.0,-4.0,3.0,-4.0,0.0,10.0,0.0,-2.0,-7.0,10.4,20.0,,,10.0,8.52,81.2%,False,0.18,2026-05-17,130.00,False
31.2,CRDO,193.87,44.5%,HIGH,CYCLICAL,COMMODITY,MID,margins expanding + est rising (op_m=25%),WATCH,,68.51,19.98,,48.50,11.67,6.93,-4.74,50.90,0.7%,20.1%,-12.9%,-37.2%,-37.2%,124.2%,-7.9%,66.90,NORMAL,-0.55,3.55,RISING,2.00,UP,False,Technology,7787693,8835530,7951952,0.88,0.98,NORMAL,normal,1.11,ACCUM-CONFIRMED-RECENTLY,4.00,UP,1.68,True,0.0,13.2,0.0,1.0,22.0,3.0,0.0,3.0,-5.0,0.0,10.0,-10.0,1.0,13.2,0.0,22.0,,,0.0,,44.5%,False,0.00,,,False
31.2,SFM,66.07,43.8%,MEDIUM,DEFENSIVE,,MID,"margins expanding, estimates not yet moving",FALLING_KNIFE,,12.63,11.08,,1.60,0.70,0.03,-0.67,30.20,-3.8%,-10.1%,-18.5%,-63.7%,-43.3%,2.0%,-16.2%,4.80,GRINDING-DOWN,0.22,5.93,FALLING,10.00,DOWN,False,Consumer Defensive,2377757,2047220,2020510,1.16,1.18,NORMAL,normal,1.01,,,,,False,8.0,0.4,11.8,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,0.4,11.8,22.0,,,8.0,,43.8%,False,0.00,,,False
31.0,LTM,52.46,41.6%,MEDIUM,CYCLICAL,ECONOMIC,MID,"margins expanding, estimates not yet moving",WATCH,,9.66,8.19,,1.50,-5.64,2.01,7.65,52.70,-1.6%,4.1%,1.8%,-25.5%,-25.5%,26.7%,0.2%,34.60,NORMAL,-1.33,1.98,MIXED,30.00,DOWN,True,Industrials,585688,727970,784851,0.81,0.75,NORMAL,normal,0.93,,,,,False,-2.0,-1.0,0.0,12.0,22.0,3.0,4.0,3.0,2.0,0.0,8.0,-10.0,12.0,-1.0,0.0,22.0,,,-2.0,2.92,44.5%,False,0.28,2026-05-07,140.00,False
29.7,TSM,446.57,23.7%,HIGH,CYCLICAL,COMMODITY,MID,margins expanding + est rising (op_m=60%),WATCH,CONFIRMED-1d (holding),33.23,20.37,0.86,12.90,11.50,0.66,-10.84,60.60,-1.2%,6.9%,8.9%,-6.8%,-6.8%,67.4%,6.7%,46.20,NORMAL,-0.49,1.79,MIXED,38.00,UP,True,Technology,10161299,10996630,12520401,0.92,0.81,NORMAL,normal,0.88,,,,,False,0.0,6.8,5.9,14.0,3.0,3.0,4.0,3.0,4.0,0.0,10.0,-10.0,14.0,6.8,5.9,3.0,,,0.0,5.82,29.5%,False,0.26,2026-12-09,,False
29.7,CGNX,58.19,36.8%,MEDIUM,CYCLICAL,CAPEX,TROUGH,"margins contracting, estimates stabilising",FALLING_KNIFE,,55.95,28.75,2.71,27.20,14.85,0.00,-14.85,41.50,-6.1%,-1.6%,-3.9%,-36.9%,-20.2%,68.2%,-7.0%,35.70,DISTRIBUTION,-6.02,3.13,MIXED,0.00,DOWN,False,Technology,1818341,1514730,2080042,1.20,0.87,ELEVATED,ELEVATED-DOWN,0.73,,,,,False,12.0,7.9,-2.2,-7.0,22.0,3.0,-6.0,0.0,-4.0,0.0,8.0,4.0,-7.0,7.9,-2.2,22.0,,,12.0,0.58,37.4%,False,0.32,2026-08-19,36.00,False
28.9,CRM,237.58,18.3%,MEDIUM,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=21%),WATCH,,21.74,14.84,0.78,6.90,3.29,3.14,-0.15,53.00,0.5%,-7.1%,13.6%,-35.6%,-11.7%,62.4%,13.3%,48.50,NORMAL,-0.85,2.90,MIXED,17.00,UP,True,Technology,11560689,12772400,15172721,0.91,0.76,NORMAL,normal,0.84,,,,,False,8.0,4.9,11.0,10.0,-5.0,3.0,4.0,-3.0,6.0,0.0,8.0,0.0,10.0,4.9,11.0,-5.0,,,8.0,0.72,19.0%,False,0.16,2026-09-16,8.00,False
28.8,PTC,140.40,23.5%,HIGH,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=28%),WATCH,,13.62,15.76,,-2.10,3.06,0.24,-2.82,50.90,3.8%,5.8%,-9.2%,-36.1%,-32.1%,29.4%,0.9%,44.10,NORMAL,4.09,3.07,MIXED,10.00,DOWN,True,Technology,2099397,2076440,1711373,1.01,1.23,NORMAL,normal,1.21,,3.00,UP,3.47,True,10.0,1.9,8.9,5.0,3.0,3.0,4.0,3.0,-5.0,0.0,10.0,0.0,5.0,1.9,8.9,3.0,,,10.0,,23.5%,False,0.00,,,False
28.1,SNDK,1816.57,17.6%,HIGH,CYCLICAL,CAPEX,MID,margins expanding + est rising (op_m=78%),WATCH,CONFIRMED-5d (holding),24.63,6.89,,17.70,32.87,-0.47,-33.34,60.10,-3.7%,19.5%,21.7%,-22.8%,-22.8%,1842.1%,20.6%,13.10,NORMAL,0.44,5.43,MIXED,1.00,UP,True,Technology,7672720,9931440,13022775,0.77,0.59,LIGHT,FAKE-BOUNCE,0.76,,,,,False,0.0,17.1,0.0,16.0,-5.0,3.0,4.0,3.0,6.0,0.0,10.0,-10.0,16.0,17.1,0.0,-5.0,,,0.0,,17.6%,False,0.00,,,False
28.0,APH,82.19,20.9%,MEDIUM,CYCLICAL,COMMODITY,MID,margins expanding + est rising (op_m=30%),WATCH,CONFIRMED-1d (holding),41.51,25.06,0.94,16.50,15.32,1.23,-14.09,54.70,1.8%,5.9%,4.7%,-7.9%,-7.9%,39.3%,2.7%,40.10,NORMAL,3.30,2.46,RISING,6.00,DOWN,True,Technology,13001932,12642930,15658546,1.03,0.83,NORMAL,normal,0.81,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.90,False,-2.0,9.4,5.6,12.0,3.0,3.0,4.0,3.0,2.0,0.0,8.0,-10.0,12.0,9.4,5.6,3.0,,,-2.0,0.56,21.5%,False,0.23,2026-09-21,3.00,True
28.0,LHX,239.21,41.5%,MEDIUM,MIXED,ECONOMIC,MID,fwd<trail PE but eps30=0.9 flat/weak → MID,FALLING_KNIFE,,24.16,17.67,1.19,6.50,-0.39,0.86,1.25,24.60,-3.1%,-4.2%,-10.3%,-36.9%,-36.9%,0.1%,-12.3%,4.70,GRINDING-DOWN,-2.81,1.88,FALLING,37.00,DOWN,False,Industrials,1329631,1746740,1492397,0.76,0.89,LIGHT,light-dip,1.17,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.91,False,8.0,0.7,8.3,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,0.7,8.3,22.0,,,8.0,2.05,43.6%,False,0.49,2026-09-03,21.00,False
27.9,TEL,214.39,15.9%,MEDIUM,CYCLICAL,COMMODITY,EARLY,fwd<trail PE + healthy margins (op_m=21%) → grower (EARLY),WATCH,CONFIRMED-1d (holding),21.02,16.60,0.92,4.40,2.34,0.05,-2.29,58.80,2.1%,6.4%,5.3%,-15.1%,-15.1%,12.7%,3.5%,83.00,STRENGTH-HOLLOW,2.00,2.44,RISING,24.00,DOWN,True,Technology,1450560,2095900,2406180,0.69,0.60,LIGHT,FAKE-BOUNCE,0.87,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.76,False,12.0,1.3,5.6,14.0,-5.0,3.0,4.0,3.0,4.0,0.0,8.0,4.0,14.0,1.3,5.6,-5.0,,,12.0,1.36,17.3%,False,0.28,2026-11-19,,False
27.9,NXPI,235.44,32.1%,MEDIUM,CYCLICAL,COMMODITY,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,20.09,13.01,0.47,7.10,2.65,0.00,-2.65,54.00,1.3%,4.0%,4.4%,-30.7%,-30.7%,28.7%,-1.3%,71.80,NORMAL,1.76,2.20,RISING,6.00,DOWN,False,Technology,4005895,3955340,3960472,1.01,1.01,NORMAL,normal,1.00,,,,,False,12.0,1.4,7.5,4.0,3.0,3.0,-4.0,3.0,2.0,0.0,8.0,4.0,4.0,1.4,7.5,3.0,,,12.0,1.72,33.9%,False,0.35,2026-09-15,9.00,False
27.6,FSLR,191.97,41.7%,HIGH,CYCLICAL,RATE,TROUGH,"margins contracting, estimates stabilising",WATCH,,11.84,8.26,,3.60,-0.19,0.69,0.88,39.70,-3.9%,-5.1%,-10.4%,-40.2%,-40.2%,4.9%,-9.8%,7.90,GRINDING-DOWN,0.28,5.39,MIXED,3.00,UP,False,Technology,2102391,2298130,2337092,0.92,0.90,NORMAL,normal,0.98,,,,,False,14.0,0.6,0.0,-9.0,22.0,3.0,-4.0,-3.0,-5.0,0.0,10.0,4.0,-9.0,0.6,0.0,22.0,,,14.0,,41.7%,False,0.00,,,False
27.5,CNM,42.76,29.3%,MEDIUM,MIXED,ECONOMIC,TROUGH,fwd<trail PE + eps30=3.9>1.5 + low margins → TROUGH,FUNDAMENTALS_READY_PRICE_FALLING,,17.60,12.21,,5.40,6.43,3.93,-2.50,47.10,-0.7%,4.1%,-4.7%,-36.4%,-28.3%,6.8%,-2.9%,52.20,NORMAL,-0.72,1.88,MIXED,9.00,DOWN,False,Industrials,2605165,3659030,2422904,0.71,1.07,LIGHT,FAKE-BOUNCE,1.51,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.63,False,8.0,7.4,11.1,-2.0,3.0,3.0,-4.0,3.0,-4.0,0.0,8.0,0.0,-2.0,7.4,11.1,3.0,,,8.0,,29.3%,False,0.00,,,False
26.7,SKHY,189.28,33.2%,HIGH,CYCLICAL,COMMODITY,MID,"margins expanding, estimates not yet moving",WATCH,CONFIRMED-1d (holding),11.43,5.60,0.30,5.80,,0.21,,58.40,-3.1%,8.2%,21.8%,-5.3%,-5.3%,51.7%,16.1%,45.50,NORMAL,-1.93,3.68,MIXED,7.00,DOWN,True,Technology,13849705,22909690,,0.60,,LIGHT,FAKE-BOUNCE,,,,,,False,0.0,0.2,7.5,16.0,3.0,3.0,4.0,3.0,6.0,0.0,10.0,-10.0,16.0,0.2,7.5,3.0,,,0.0,,33.2%,False,0.00,,,False
