# run=2026-09-24_0754  universe=1144  cache_hit=47.6%  price_stale=1072/1144  fetch_failed=10/1144
ready_to_buy_score,ticker,price,target_upside,quality_flag,cyclicality,cyclical_driver,cycle_position,cycle_reason,turn_state,turn_persist,trailingPE,forwardPE,peg,pe_delta,eps_rev_90d,eps_rev_30d,rev_accel,rsi14,pct_change_1d,pct_change_5d,pct_change_1mo,dist_from_ath,pct_from_52wk_high,pct_from_52wk_low,pct_from_ma50,close_vs_range,recent_action,gap_pct,intraday_range_pct,trend_3d,days_since_5pct_move,last_5pct_direction,price_above_ma50,sector,vol_1d,vol_10d_avg,vol_3mo_avg,vol_vs_10d_avg,vol_vs_3mo_avg,vol_event,vol_event_read,volume_trend,vol_spike_tag,days_since_vol_spike,last_vol_spike_direction,last_vol_spike_magnitude,vol_spike_recent,rtb_b4,rtb_b2,rtb_b3,rtb_b1,rtb_b5,rtb_b1_confirm,rtb_b1_ma50,rtb_b1_5d,rtb_b1_1mo,rtb_b1_combo,rtb_quality_pts,rtb_cycle_pts,rtb_f1_timing,rtb_f2_estimates,rtb_f3_ath,rtb_f4_targets,rtb_f5_trend,rtb_f6_volume,rtb_f7_cycle,div_yield,total_return_potential,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div
47.1,BEKE,16.59,43.4%,MEDIUM,CYCLICAL,RATE,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,26.33,13.20,,13.10,10.29,10.66,0.37,45.90,0.1%,2.3%,-6.5%,-36.3%,-19.7%,20.1%,-2.5%,68.70,NORMAL,-0.84,2.02,RISING,15.00,DOWN,False,Real Estate,5231193,5008730,4422585,1.04,1.18,NORMAL,normal,1.13,,2.00,UP,1.78,True,12.0,16.1,0.0,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,4.0,-3.0,16.1,0.0,22.0,,,12.0,11.64,55.1%,False,0.45,2026-04-07,170.00,False
46.4,JBL,308.75,39.1%,MEDIUM,MIXED,COMMODITY,MID,fwd<trail PE but eps30=0.5 flat/weak → MID,FUNDAMENTALS_READY_PRICE_FALLING,,38.59,18.34,0.82,20.30,15.39,0.53,-14.86,48.70,1.7%,4.3%,-1.4%,-28.0%,-28.0%,62.8%,-2.9%,95.40,NORMAL,0.97,2.53,RISING,6.00,DOWN,False,Technology,831626,1223130,1211861,0.68,0.69,LIGHT,FAKE-BOUNCE,1.01,ACCUM-CONFIRMED-RECENTLY,3.00,UP,3.14,True,8.0,8.7,9.7,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,0.0,-2.0,8.7,9.7,22.0,,,8.0,0.10,39.2%,False,0.04,2026-08-13,42.00,False
46.2,ON,74.10,39.9%,MEDIUM,CYCLICAL,COMMODITY,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,47.20,16.36,0.30,30.80,4.96,0.01,-4.95,49.60,3.3%,1.2%,-0.1%,-45.1%,-45.1%,66.3%,-5.9%,83.30,STRENGTH-HOLLOW,2.86,3.06,RISING,4.00,DOWN,False,Technology,9134424,12801370,11195010,0.71,0.82,LIGHT,light-dip,1.14,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.83,True,12.0,2.7,7.5,2.0,22.0,3.0,-4.0,3.0,0.0,0.0,8.0,4.0,2.0,2.7,7.5,22.0,,,12.0,,39.9%,False,0.00,,,False
45.7,NVT,162.85,26.9%,MEDIUM,CYCLICAL,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",WATCH,CONFIRMED-1d (holding),45.24,25.13,1.03,20.10,15.05,0.45,-14.60,56.50,2.1%,10.9%,7.1%,-11.8%,-11.8%,74.7%,4.0%,63.80,STRENGTH-HOLLOW,0.60,2.47,RISING,6.00,DOWN,True,Industrials,1503592,2201590,2197730,0.68,0.68,LIGHT,FAKE-BOUNCE,1.00,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.62,True,15.0,8.5,5.2,14.0,3.0,3.0,4.0,3.0,4.0,0.0,8.0,8.0,14.0,8.5,5.2,3.0,,,15.0,0.50,27.4%,False,0.23,2026-10-22,,False
45.1,ASND,223.13,38.7%,MEDIUM,MIXED,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",FALLING_KNIFE,,17.39,20.27,,-2.90,5.03,17.86,12.83,30.90,-6.1%,-6.9%,-11.9%,-20.9%,-20.9%,19.9%,-11.9%,14.60,GRINDING-DOWN,-0.32,7.79,MIXED,0.00,DOWN,False,Healthcare,1194692,1078290,687816,1.11,1.74,NORMAL,normal,1.57,DISTRIB-CONFIRMED-RECENTLY,1.00,DOWN,1.77,False,8.0,20.0,6.1,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,0.0,-11.0,20.0,6.1,22.0,,,8.0,,38.7%,False,0.00,,,False
44.5,FIX,1625.90,35.1%,MEDIUM,CYCLICAL,CAPEX,EARLY,margins expanding + est rising (op_m=17%),FUNDAMENTALS_READY_PRICE_FALLING,,40.00,27.02,0.54,13.00,13.13,0.23,-12.90,49.40,-0.4%,3.1%,-1.8%,-21.6%,-21.6%,114.8%,-2.6%,65.70,NORMAL,-0.35,1.99,FALLING,6.00,DOWN,False,Industrials,233988,339810,456057,0.69,0.51,LIGHT,FAKE-BOUNCE,0.74,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.82,True,10.0,7.2,7.3,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,2.0,-2.0,7.2,7.3,22.0,,,10.0,0.16,35.3%,False,0.06,2026-08-12,43.00,False
44.3,ENS,179.49,40.7%,MEDIUM,CYCLICAL,ECONOMIC,TROUGH,fwd<trail PE + eps30=5.8>1.5 + low margins → TROUGH,FUNDAMENTALS_READY_PRICE_FALLING,,19.26,12.64,0.95,6.60,3.76,5.77,2.01,45.60,0.5%,5.2%,-5.4%,-26.5%,-26.5%,65.9%,-4.4%,89.90,NORMAL,-0.11,2.42,RISING,6.00,DOWN,False,Industrials,407866,623000,552220,0.66,0.74,LIGHT,FAKE-BOUNCE,1.13,ACCUM-CONFIRMED-RECENTLY,3.00,UP,3.01,True,12.0,7.8,5.5,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,4.0,-3.0,7.8,5.5,22.0,,,12.0,0.58,41.3%,False,0.11,2026-09-17,7.00,False
44.2,ANF,132.25,23.7%,MEDIUM,CYCLICAL,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",WATCH,,11.41,10.30,3.62,1.10,10.99,11.13,0.14,50.10,-3.3%,-2.2%,21.3%,-32.9%,-14.8%,102.1%,11.6%,26.50,GRINDING-DOWN,-0.99,4.11,MIXED,8.00,DOWN,True,Consumer Cyclical,1093877,1356670,1535388,0.81,0.71,NORMAL,normal,0.88,,,,,False,15.0,17.0,-3.8,13.0,3.0,3.0,4.0,0.0,6.0,0.0,8.0,8.0,13.0,17.0,-3.8,3.0,,,15.0,,23.7%,False,0.00,2020-03-04,2395,False
42.6,HPE,62.33,9.2%,MEDIUM,MIXED,CAPEX,TROUGH,"margins contracting, estimates stabilising",WATCH,CONFIRMED-1d (holding),32.13,13.56,0.50,18.60,13.85,12.82,-1.03,61.00,2.1%,10.0%,18.9%,-3.0%,-3.0%,214.2%,17.0%,50.00,STRENGTH-HOLLOW,1.97,3.30,MIXED,4.00,UP,True,Technology,14956866,24196330,25401043,0.62,0.59,LIGHT,FAKE-BOUNCE,0.95,ACCUM-CONFIRMED-RECENTLY,9.00,UP,1.54,True,8.0,20.0,12.6,16.0,-14.0,3.0,4.0,3.0,6.0,0.0,8.0,0.0,16.0,20.0,12.6,-14.0,,,8.0,0.90,10.1%,True,0.29,2026-09-16,8.00,False
42.0,PUK,25.26,50.6%,HIGH,MIXED,RATE,EARLY,estimates rising (no margin trend data),FALLING_KNIFE,,9.02,12.52,,-3.50,20.10,1.35,-18.75,30.60,-3.8%,-4.6%,-10.3%,-40.5%,-25.8%,2.6%,-9.8%,12.00,GRINDING-DOWN,-3.47,0.99,MIXED,33.00,DOWN,False,Financial Services,975041,921410,1118821,1.06,0.87,NORMAL,normal,0.82,DISTRIB-CONFIRMED-RECENTLY,6.00,DOWN,1.60,False,10.0,12.1,10.9,-11.0,20.0,3.0,-6.0,-3.0,-5.0,0.0,10.0,0.0,-11.0,12.1,10.9,20.0,,,10.0,1.10,51.7%,False,0.19,2026-09-10,14.00,False
40.9,IESC,319.73,37.6%,MEDIUM,CYCLICAL,CAPEX,EARLY,margins expanding + est rising (op_m=14%),FUNDAMENTALS_READY_PRICE_FALLING,,28.50,,,,21.71,0.37,-21.34,47.30,-0.6%,2.7%,-6.7%,-21.7%,-21.7%,88.0%,-4.0%,40.60,NORMAL,-0.54,2.44,FALLING,6.00,DOWN,False,Industrials,133506,293600,432632,0.46,0.31,VERY_LIGHT,FAKE-BOUNCE,0.68,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.56,True,10.0,11.9,0.0,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,2.0,-3.0,11.9,0.0,22.0,,,10.0,,37.6%,False,0.00,,,False
